Date,Open,High,Low,Close,Adj Close,Volume,H-L,O-C,7 DAYS MA,14 DAYS MA,21 DAYS MA,7 DAYS STD DEV
2019-01-02,4400.0,4400.0,4337.5,4362.5,3862.843994140625,15681200,62.5,-37.5,,,,
2019-01-03,4337.5,4387.5,4325.0,4362.5,3862.843994140625,21416600,62.5,25.0,,,,
2019-01-04,4362.5,4400.0,4337.5,4362.5,3862.843994140625,41078600,62.5,0.0,,,,
2019-01-07,4412.5,4462.5,4412.5,4437.5,3929.25390625,48108200,50.0,25.0,,,,
2019-01-08,4437.5,4475.0,4400.0,4450.0,3940.32177734375,45945800,75.0,12.5,,,,
2019-01-09,4475.0,4475.0,4412.5,4425.0,3918.185302734375,50484000,62.5,-50.0,,,,
2019-01-10,4462.5,4462.5,4400.0,4425.0,3918.185302734375,44421400,62.5,-37.5,4403.571428571428,,,39.339789623472164
2019-01-11,4475.0,4487.5,4450.0,4462.5,3951.390625,47217000,37.5,-12.5,4417.857142857143,,,40.08918628686386
2019-01-14,4487.5,4487.5,4425.0,4437.5,3929.25390625,26702800,62.5,-50.0,4428.571428571428,,,32.04349722308338
2019-01-15,4437.5,4550.0,4425.0,4500.0,3984.595458984375,49947400,125.0,62.5,4448.214285714285,,,26.44626177562436
2019-01-16,4525.0,4625.0,4500.0,4625.0,4095.27880859375,58089800,125.0,100.0,4475.0,,,71.07800878846794
2019-01-17,4612.5,4662.5,4575.0,4625.0,4095.27880859375,47773600,87.5,12.5,4500.0,,,89.26785535678734
2019-01-18,4650.0,4700.0,4600.0,4700.0,4161.6884765625,39366000,100.0,50.0,4539.285714285715,,,109.07484324339815
2019-01-21,4600.0,4687.5,4600.0,4612.5,4084.210205078125,33397400,87.5,12.5,4566.071428571428,4484.821428571428,,98.87762999933928
2019-01-22,4612.5,4625.0,4587.5,4625.0,4095.27880859375,42127800,37.5,12.5,4589.285714285715,4503.571428571428,,89.10099940650878
2019-01-23,4587.5,4612.5,4512.5,4525.0,4006.73193359375,51746000,100.0,-62.5,4601.785714285715,4515.178571428572,,67.86497448541023
2019-01-24,4525.0,4537.5,4487.5,4500.0,3984.595458984375,88315800,50.0,-25.0,4601.785714285715,4525.0,,67.86497448541023
2019-01-25,4512.5,4562.5,4500.0,4550.0,4028.868408203125,51100800,62.5,37.5,4591.071428571428,4533.035714285715,,69.49006438059786
2019-01-28,4550.0,4562.5,4525.0,4550.0,4028.868408203125,42198000,37.5,0.0,4580.357142857143,4540.178571428572,,69.16810096046258
2019-01-29,4525.0,4550.0,4462.5,4512.5,3995.66357421875,38083600,87.5,-12.5,4553.571428571428,4546.428571428572,,48.25835728264605
2019-01-30,4450.0,4500.0,4450.0,4500.0,3984.595458984375,40402400,50.0,50.0,4537.5,4551.785714285715,4502.380952380952,43.89855730355806
2019-01-31,4500.0,4587.5,4500.0,4537.5,4017.80029296875,72412200,87.5,37.5,4525.0,4557.142857142857,4510.714285714285,21.65063509462057
2019-02-01,4550.0,4662.5,4537.5,4625.0,4095.27880859375,83559800,125.0,75.0,4539.285714285715,4570.535714285715,4523.214285714285,43.55825327732812
2019-02-04,4625.0,4637.5,4550.0,4562.5,4039.9375,45077600,87.5,-62.5,4548.214285714285,4575.0,4532.738095238095,40.45867968563986
2019-02-06,4562.5,4612.5,4550.0,4550.0,4028.868408203125,39366200,62.5,-12.5,4548.214285714285,4569.642857142857,4538.0952380952385,40.45867968563986
2019-02-07,4550.0,4550.0,4512.5,4537.5,4017.80029296875,11857200,37.5,-12.5,4546.428571428572,4563.392857142857,4542.261904761905,40.64216670265203
2019-02-08,4475.0,4525.0,4462.5,4487.5,3973.52685546875,25850600,62.5,12.5,4542.857142857143,4548.214285714285,4545.238095238095,44.98677054212672
2019-02-11,4475.0,4525.0,4450.0,4525.0,4006.73193359375,29542600,75.0,50.0,4546.428571428572,4541.964285714285,4550.0,41.90408549238156
2019-02-12,4525.0,4537.5,4450.0,4450.0,3940.32177734375,25694400,87.5,-75.0,4533.928571428572,4529.464285714285,4549.4047619047615,55.76844132320241
2019-02-13,4425.0,4450.0,4325.0,4325.0,3829.638916015625,57993000,125.0,-100.0,4491.071428571428,4515.178571428572,4544.047619047619,82.82583562886272
2019-02-14,4325.0,4437.5,4325.0,4387.5,3884.980224609375,34647200,112.5,62.5,4466.071428571428,4507.142857142857,4538.690476190476,84.07408864182025
2019-02-15,4387.5,4387.5,4350.0,4387.5,3884.980224609375,25669400,37.5,0.0,4442.857142857143,4495.535714285715,4527.380952380952,79.33878532686944
2019-02-18,4400.0,4525.0,4400.0,4487.5,3973.52685546875,32794600,125.0,87.5,4435.714285714285,4491.071428571428,4520.833333333333,71.23485636895023
2019-02-19,4487.5,4512.5,4412.5,4437.5,3929.25390625,17644000,100.0,-50.0,4428.571428571428,4485.714285714285,4508.333333333333,67.59032756950191
2019-02-20,4450.0,4450.0,4350.0,4412.5,3907.1171875,30538000,100.0,-37.5,4412.5,4479.464285714285,4498.809523809524,52.539667553828515
2019-02-21,4450.0,4475.0,4387.5,4462.5,3951.390625,26466400,87.5,12.5,4414.285714285715,4474.107142857143,4491.071428571428,54.212434876495344
2019-02-22,4450.0,4450.0,4325.0,4362.5,3862.843994140625,59643400,125.0,-87.5,4419.642857142857,4455.357142857143,4483.333333333333,44.98677054212368
2019-02-25,4387.5,4425.0,4362.5,4400.0,3896.048828125,31297800,62.5,12.5,4421.428571428572,4443.75,4478.571428571428,43.72873632924402
2019-02-26,4400.0,4437.5,4350.0,4425.0,3918.185302734375,32625400,87.5,25.0,4426.785714285715,4434.821428571428,4472.619047619048,41.097300340025456
